UF,População,epiweek,corredor baixo,corredor mediano,corredor alto,ano,Unidade da Federação,Tipo,dado,escala
12,829619,4,0.0,0.09949560014089442,0.21096521952699265,2017,Acre,Estado,srag,incidência
12,829619,5,0.0,0.1982498637728796,0.44400219156500254,2017,Acre,Estado,srag,incidência
12,829619,6,0.042348149029670434,0.15383160453253253,0.27723867774645283,2017,Acre,Estado,srag,incidência
12,829619,7,0.0,0.06632334563234242,0.1681960497017303,2017,Acre,Estado,srag,incidência
12,829619,8,0.01420312596648965,0.1923180545718568,0.4017136280301597,2017,Acre,Estado,srag,incidência
12,829619,9,0.1923859532243588,0.3351625819854269,0.4950353243540497,2017,Acre,Estado,srag,incidência
12,829619,10,0.10418600672652767,0.28841653450624616,0.5033854407468679,2017,Acre,Estado,srag,incidência
12,829619,11,0.07029331542666363,0.224100296811824,0.4000101795062241,2017,Acre,Estado,srag,incidência
12,829619,12,0.06521467183431384,0.19098115233270185,0.3315964778903813,2017,Acre,Estado,srag,incidência
12,829619,13,0.0803366692565417,0.3342360344932547,0.6478065092110229,2017,Acre,Estado,srag,incidência
12,829619,14,0.1608136298301308,0.3394149256271841,0.5454955876555371,2017,Acre,Estado,srag,incidência
12,829619,15,0.05451770321998306,0.3406399088471905,0.7043956300645107,2017,Acre,Estado,srag,incidência
12,829619,16,0.017644453710284447,0.2283332987349897,0.4826422797079637,2017,Acre,Estado,srag,incidência
12,829619,17,0.07956876997972495,0.32545205354527496,0.6273378733254584,2017,Acre,Estado,srag,incidência
12,829619,18,0.0,0.2951141586032409,0.7992732255906883,2017,Acre,Estado,srag,incidência
12,829619,19,0.01586237647936639,0.24352904624760785,0.5222184861503179,2017,Acre,Estado,srag,incidência
12,829619,20,0.1826202627642981,0.4555390986173109,0.7914406968231862,2017,Acre,Estado,srag,incidência
12,829619,21,0.0,0.20335007149703288,0.558488105614303,2017,Acre,Estado,srag,incidência
12,829619,22,0.0,0.17778800841751852,0.41111348094404176,2017,Acre,Estado,srag,incidência
12,829619,23,0.08999076105076109,0.3911031985412985,0.7753986346877944,2017,Acre,Estado,srag,incidência
12,829619,24,0.12183192987594492,0.45017354812839705,0.8746153177542917,2017,Acre,Estado,srag,incidência
