UF,População,Média geométrica do pico de infecção das temporadas regulares,região de baixa atividade típica,limiar pré-epidêmico,intensidade alta,intensidade muito alta,SE típica do início do surto,"SE típica do início do surto - IC inferior (2,5%)","SE típica do início do surto - IC superior (97,5%)",duração típica do surto,"duração típica do surto - IC inferior (2,5%)","duração típica do surto - IC superior (97,5%)",temporadas utilizadas para os corredores endêmicos,ano,Unidade da Federação,Tipo,dado,escala
RegN,16386007,0.02580632601435313,0,0.007218155675243794,0.03695324985983794,0.04617143711745842,12.0,2.0,16.0,8.0,1.0,11.0,"2010, 2012, 2013, 2014, 2015, 2016",2017,Regional Norte,Regional,obitoflu,incidência
RegS,95859350,0.007234871326385741,0,0.009333307034419758,0.012342075376492677,0.017029586426701125,25.0,17.0,33.0,10.0,7.0,14.0,"2010, 2011, 2014, 2015",2017,Regional Sul,Regional,obitoflu,incidência
11,1805788,1.0459475455718017,1,0.49999999999999994,1.9999999999999998,3.0000000000000004,,,,,,,"2010, 2011, 2012, 2013, 2014, 2015, 2016",2017,Rondônia,Estado,obitoflu,casos
12,829619,1.2553912100287903,1,0.49999999999999994,2.0,3.0,,,,,,,"2011, 2013, 2015, 2016",2017,Acre,Estado,obitoflu,casos
13,4063614,1.5022208091877631,1,0.49999999999999994,1.9999999999999998,3.0,,,,,,,"2010, 2012, 2013, 2014, 2015, 2016",2017,Amazonas,Estado,obitoflu,casos
14,522636,1.4753467008416752,1,0.5000000000000001,2.8988880283018266,4.1449076076699,,,,,,,"2013, 2016",2017,Roraima,Estado,obitoflu,casos
15,8366628,4.040747389329579,1,0.5,5.008320335392561,6.290792015177525,,,,,,,"2010, 2012, 2013, 2014, 2016",2017,Pará,Estado,obitoflu,casos
16,797722,1.37034043900192,1,0.49999999999999994,2.0,3.0,,,,,,,"2010, 2013, 2016",2017,Amapá,Estado,obitoflu,casos
17,1550194,1.0700522450622239,1,0.5,2.0,2.9999999999999996,,,,,,,"2010, 2011, 2012, 2013",2017,Tocantins,Estado,obitoflu,casos
21,7000229,1.31071526624887,1,0.5,2.146762209359772,2.9999999999999996,,,,,,,"2010, 2012, 2014",2017,Maranhão,Estado,obitoflu,casos
22,3218485,1.0099091284092083,1,0.49999999999999994,1.9999999999999998,2.9999999999999996,,,,,,,"2010, 2013, 2014, 2015, 2016",2017,Piauí,Estado,obitoflu,casos
23,9021232,2.1056317963986806,1,0.5,2.481231329538088,3.12011456337787,,,,,,,"2010, 2012, 2013, 2014, 2016",2017,Ceará,Estado,obitoflu,casos
24,3507003,1.1657057450679216,1,0.5,2.0,3.0000000000000004,,,,,,,"2010, 2011, 2013, 2014, 2015, 2016",2017,Rio Grande do Norte,Estado,obitoflu,casos
25,4025558,1.6080441560123333,1,0.49999999999999994,3.501930396219303,4.68566689109437,,,,,,,"2010, 2012, 2015, 2016",2017,Paraíba,Estado,obitoflu,casos
26,9473707,1.2394507025213692,1,0.5,2.2563282317213478,3.0,,,,,,,"2010, 2011, 2012, 2013, 2014, 2016",2017,Pernambuco,Estado,obitoflu,casos
27,3375382,1.2749186216630068,1,0.5,2.1075863246662436,3.0000000000000004,,,,,,,"2010, 2012, 2013, 2014, 2016",2017,Alagoas,Estado,obitoflu,casos
28,2288116,,1,0.5,2.0000000000000004,2.9999999999999996,,,,,,,,2017,Sergipe,Estado,obitoflu,casos
29,15344447,1.5414782803164353,1,0.5,3.1278777320550963,3.979567714486334,,,,,,,"2010, 2012, 2013, 2014, 2015, 2016",2017,Bahia,Estado,obitoflu,casos
31,21119536,1.6119217015585385,0,1.0210553625203524,2.3796442901094257,3.0003634273897113,8.0,2.0,17.0,6.0,1.0,13.0,"2010, 2011, 2014, 2015",2017,Minas Gerais,Estado,obitoflu,casos
32,4016356,1.2448313528846615,1,0.5,2.0,2.9999999999999996,,,,,,,"2010, 2013, 2014, 2015",2017,Espírito Santo,Estado,obitoflu,casos
33,16718956,1.77871184627075,1,0.5,2.3358281219805543,3.0609078873680717,,,,,,,"2011, 2012, 2013, 2014, 2015",2017,Rio de Janeiro,Estado,obitoflu,casos
35,45094866,5.714851812690274,0,1.9256627328412301,8.009308457172402,10.206251180715258,17.0,17.0,49.0,8.0,3.0,11.0,"2010, 2011, 2012, 2014, 2015",2017,São Paulo,Estado,obitoflu,casos
41,11320892,2.7180555822696792,0,1.2040712512409262,5.214264518757232,6.639792220450206,22.0,1.0,24.0,8.0,5.0,11.0,"2010, 2011, 2013, 2014, 2015",2017,Paraná,Estado,obitoflu,casos
42,7001161,1.6644592408777636,1,0.5000000000000001,2.2854622121179755,3.0000000000000004,,,,,,,"2010, 2011, 2014, 2015",2017,Santa Catarina,Estado,obitoflu,casos
43,11322895,6.055848273248647,1,0.5,8.463599274433854,10.957439695900105,,,,,,,"2011, 2012, 2013, 2014",2017,Rio Grande do Sul,Estado,obitoflu,casos
50,2713147,2.743717064338861,1,0.49999999999999994,2.6474139192371107,3.426451216395186,,,,,,,"2012, 2013, 2014, 2015",2017,Mato Grosso do Sul,Estado,obitoflu,casos
51,3344544,1.9043943405188035,1,0.5,2.307902745753952,2.9999999999999996,,,,,,,"2010, 2014, 2016",2017,Mato Grosso,Estado,obitoflu,casos
52,6778772,2.3479080126509744,1,0.5,2.527304639884605,3.096654206107621,,,,,,,"2010, 2012, 2013, 2014, 2015",2017,Goiás,Estado,obitoflu,casos
53,3039444,1.6481666230059582,1,0.5000000000000001,2.337746630378063,3.0000000000000004,,,,,,,"2010, 2011, 2012, 2013, 2014, 2015, 2016",2017,Distrito Federal,Estado,obitoflu,casos
BR,207660929,26.289171652172588,0,8.48410126473228,49.118258463839915,91.79976158291605,16.0,5.0,21.0,12.0,11.0,15.0,"2010, 2012, 2013, 2014, 2015",2017,Brasil,País,obitoflu,casos
RegC,27644815,4.2803829899343135,0,1.0465389640789466,4.452711045817669,5.507278376672967,15.0,7.0,20.0,10.0,5.0,18.0,"2010, 2012, 2013, 2014, 2015",2017,Regional Centro,Regional,obitoflu,casos
RegL,67770757,2.771309433478584,0,1.2574257230466472,3.756205868744198,4.770509555680602,16.0,8.0,30.0,8.0,3.0,17.0,"2010, 2011, 2012, 2013, 2014, 2015",2017,Regional Leste,Regional,obitoflu,casos
RegN,16386007,4.228626387154725,0,1.1827674942163453,6.055162108760535,7.565654918067335,12.0,2.0,16.0,8.0,1.0,11.0,"2010, 2012, 2013, 2014, 2015, 2016",2017,Regional Norte,Regional,obitoflu,casos
RegS,95859350,6.93530062680975,0,8.946847456699055,11.831033232415932,16.324450856323924,25.0,17.0,33.0,10.0,7.0,14.0,"2010, 2011, 2014, 2015",2017,Regional Sul,Regional,obitoflu,casos
