UF,População,Média geométrica do pico de infecção das temporadas regulares,região de baixa atividade típica,limiar pré-epidêmico,intensidade alta,intensidade muito alta,SE típica do início do surto,"SE típica do início do surto - IC inferior (2,5%)","SE típica do início do surto - IC superior (97,5%)",duração típica do surto,"duração típica do surto - IC inferior (2,5%)","duração típica do surto - IC superior (97,5%)",temporadas utilizadas para os corredores endêmicos,ano,Unidade da Federação,Tipo,dado,escala
RegC,27644815,62.01414070673314,0,25.47661990965258,67.85348063261755,89.5541780397731,13.0,9.0,24.0,13.0,10.0,18.0,"2010, 2012, 2013, 2014, 2015",2017,Regional Centro,Regional,srag,casos
RegL,67770757,69.75451533339577,0,58.199561950610295,102.2902877362959,115.85457416463066,17.0,11.0,21.0,13.0,8.0,13.0,"2010, 2012, 2013, 2014, 2015",2017,Regional Leste,Regional,srag,casos
RegN,16386007,78.38589538181745,0,18.814829121034876,111.68036613782401,175.8942492494211,12.0,7.0,16.0,10.0,9.0,13.0,"2010, 2013, 2014, 2016",2017,Regional Norte,Regional,srag,casos
RegS,95859350,504.025413526104,0,270.0472290326979,1006.8793055042423,1487.0290147657706,17.0,9.0,22.0,12.0,11.0,16.0,"2010, 2011, 2012, 2013, 2014, 2015",2017,Regional Sul,Regional,srag,casos
11,1805788,0.08238801817572419,1,0.02768874308612085,0.11361598957648568,0.16613245851672512,,,,,,,"2010, 2011, 2012, 2013, 2014, 2015",2017,Rondônia,Estado,sragflu,incidência
12,829619,0.21154115023133385,1,0.06026862933467049,0.29887999247730823,0.399962832591688,,,,,,,"2010, 2011, 2012, 2013, 2014, 2015, 2016",2017,Acre,Estado,sragflu,incidência
13,4063614,0.04231734499726656,1,0.012304318274324284,0.054386903244206815,0.07382590964594571,,,,,,,"2010, 2012, 2013, 2014, 2015, 2016",2017,Amazonas,Estado,sragflu,incidência
14,522636,0.2922086269925329,1,0.09566887853113833,0.3939782355524648,0.5740132711868299,,,,,,,"2012, 2013, 2016",2017,Roraima,Estado,sragflu,incidência
15,8366628,0.0694105487131251,0,0.016372309646776544,0.14867246813495072,0.2014289782395824,10.0,8.0,14.0,8.0,6.0,11.0,"2012, 2013, 2014, 2015",2017,Pará,Estado,sragflu,incidência
16,797722,0.21445933998084207,1,0.06267847696315257,0.3210073152916197,0.41783291984715,,,,,,,"2010, 2012, 2013, 2016",2017,Amapá,Estado,sragflu,incidência
